StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,DEMO1,DEMO2,DEMO3,DEMO4,DEMO5,Income,PoliticalOrientation,ATTN2,SAIL1,SAIL2,SAIL3,SAIL4,SAIL5,SAIL6,SAIL7,CRT1,CRT1scored,CRT2,CRT2scored,CRT3,CRT3scored,CRT4,CRT4scored,CRT5,CRT5scored,CRT6,CRT6scored,CRT7,CMQ1,CMQ2,CMQ3,CMQ4,CMQ5,NFU1,NFU2,NFU3,NFU4,SECS1,SECS2,SECS3,SECS4,SECS5,SECS6,SECS7,SECS8,SECS9,SECS10,SECS11,SECS12,GCBS1,GCBS2,GCBS3,GCBS4,GCBS5,GCBS6,GCBS7,GCBS8,GCBS9,GCBS10,GCBS11,GCBS12,GCBS13,GCBS14,GCBS15,CFI1,CFI2,CFI3,CFI4,CFI5,CFI6,CFI7,CFI8,CFI9,CFI10,CFI11,CFI12,CFI13,CFI14,CFI15,CFI16,CFI17,CFI18,CFI19,CFI20,FFNI1,FFNI2,FFNI3,FFNI4,FFNI5,FFNI6,FFNI7,FFNI8,FFNI9,FFNI10,FFNI11,FFNI12,FFNI13,FFNI14,FFNI15,FFNI16,FFNI17,FFNI18,FFNI19,FFNI20,FFNI21,FFNI22,FFNI23,FFNI24,FFNI25,FFNI26,FFNI27,FFNI28,FFNI29,FFNI30,FFNI31,FFNI32,FFNI33,FFNI34,FFNI35,FFNI36,FFNI37,FFNI38,FFNI39,FFNI40,FFNI41,FFNI42,FFNI43,FFNI44,FFNI45,FFNI46,FFNI47,FFNI48,FFNI49,FFNI50,FFNI51,FFNI52,FFNI53,FFNI54,FFNI55,FFNI56,FFNI57,FFNI58,FFNI59,FFNI60,DTI1,DTI2,DTI3,DTI4,DTI5,DTI6,DTI7,DTI8,DTI9,DTI10,DTI11,DTI12,DTI13,DTI14,DTI15,ATTN,NTBS1,NTBS2,NTBS3,NTBS4,NTBS5,NTBS6,NTBS7,NTBS8,NTBS9,NTBS10,LOC1,LOC2,LOC3,LOC4,ATTN3,SDO1,SDO2,SDO3,SDO4,aid,NTBS1r,NTBS3r,NTBS7r,SDO2r,SDO4r,CMQtotal,SAILtotal,NeedForUniqueness,GCBStotal,SECStotal,DichotomousThinking,NeedtoBelong,LOCint,LOCext,SDOtotal,ID,CFI2r,CFI4r,CFI7r,CFI9r,CFI11r,CFI17r,CFItotal,FFNI19r,FFNI27r,FFNI38r,FFNI_VN,Acclaim_Seeking,Arrogance,Authoritativeness,Distrust,Entitlement,Exhibitionism,Exploitativeness,Grandiose_Fantasies,Indifference,Lack_of_Empathy,Manipulativeness,Need_for_Admiration,Reactive_Anger,Shame,Thrill_Seeking,Total_FFNI,Vulnerable_Narcissism,Grandiose_Narcissism,PolRight,PolLeft,PolCentre,PolLeftRight,PolLeftMiddleRight,CRTmean
2/06/2024 2:47,2/06/2024 3:17,0,100,1826,1,2/06/2024 3:17,41.7697,-87.6985,anonymous,EN,0.600000024,1,75,Female,White,4,Education,3,0,7,4,4,5,4,6,5,1,10,2,100,2,24,2, , ,1,1, , , ,80,30,10,10,10,3,4,3,3,100,20,90,20,90,10,50,80,80,50,80,80,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,4,4,4,3,4,4,2,5,4,5,2,5,4,5,2,4,4,5,5,4,2,1,3,2,3,4,1,1,2,1,3,4,2,4,1,1,2,3,4,2,3,2,1,2,2,3,3,2,5,1,2,2,4,4,2,3,2,4,1,1,2,4,2,4,1,2,3,3,2,2,4,2,2,2,1,2,4,4,5,2,5,5,5,4,4,2,1,1,1,1,4,3,4,2,4,8,2,5,1,4,5,3,3,4,4,5,4,3,2,3,20,2,6,3,7,65c11081-5e4e-a547-02d1-a11992aa0ed0,4,5,3,2,1,28,29,13,17,62.5,46,42,7,5,8,177,2,3,4,2,4,2,77,2,3,2,43,1.75,2,3.25,2.5,2.25,3.5,1.75,1.5,1.75,1.25,2.5,3.75,2.5,4.5,1.25,144,3.583333333,2.104166667,0,1,0,0,1,1.75
2/08/2024 8:53,2/08/2024 9:11,0,100,1090,1,2/08/2024 9:11,41.1054,-80.6905,anonymous,EN,0.600000024,1,72,Female,White,2,Banking,4,61,7,5,4,5,5,6,4,5,10,2,20,1,24,2,6,1,1,1,10,2, ,90,10,80,90,60,4,3,3,3,80,80,100,100,20,20,100,100,100,50,100,100,3,4,4,3,2,1,1,1,1,1,4,2,1,1,3,4,3,5,3,4,3,2,4,4,5,2,5,4,4,4,4,1,5,4,5,2,1,2,4,3,4,1,2,4,1,1,4,4,4,2,4,3,4,4,2,3,2,5,4,1,4,4,1,3,4,4,4,3,4,3,1,2,4,4,1,4,4,1,3,2,4,2,3,4,3,4,1,2,4,1,3,5,4,4,2,5,5,5,5,5,5,3,4,6,6,6,6,6,6,4,8,2,4,4,5,4,4,2,4,4,4,1,4,4,3,20,2,6,1,6,65c40988-4d70-69d7-a0de-96aac463b9a5,4,2,4,2,2,66,34,13,32,79.16666667,77,39,5,7,7,256,3,3,4,2,4,5,81,2,2,2,39,3.5,2.5,3,3.5,2.75,3,1.5,2.75,4,1,3,3.75,2.5,3.5,2.5,171,3.25,2.75,0,0,1,1,0,1.5
2/06/2024 1:12,2/06/2024 1:41,0,100,1744,1,2/06/2024 1:41,42.5982,-83.1167,anonymous,EN,0.800000012,1,19,Female,White,2,General,3,18,7,4,3,5,5,5,1,2,10,2,100,2,24,2,18,1,1510,1,$10,2,1,70,50,100,70,60,3,5,4,5,20,50,80,100,70,50,100,100,60,80,100,90,4,3,1,5,2,3,4,1,2,4,1,4,3,2,2,4,1,5,5,4,4,2,4,3,5,1,4,5,5,5,5,1,4,5,5,5,2,4,2,4,4,1,4,4,1,3,1,2,2,3,5,2,4,2,2,3,2,3,4,1,4,4,2,3,4,5,1,4,2,2,4,2,2,4,2,4,3,2,1,1,5,3,4,4,1,4,1,4,5,1,1,2,1,3,3,4,5,5,3,6,1,2,1,5,4,4,2,5,5,5,8,4,2,4,3,4,1,3,1,2,4,4,5,1,1,20,3,3,1,6,65c0fa58-0ca0-ae65-2f1e-6dde96d40784,2,2,3,5,2,70,25,17,41,75,57,24,9,2,11,121,5,1,4,3,5,5,87,4,2,4,24,5,2,4,3,2.25,3.75,1.5,3.75,4.25,1.25,3,2,1.75,2.25,2.75,170,2,3.041666667,0,1,0,0,1,1.571428571
2/06/2024 2:45,2/06/2024 3:43,0,100,3471,1,2/06/2024 3:43,38.8939,-94.7067,anonymous,EN,0.600000024,1,68,68,"Jew by choice, german",5,Public administration,10,76,7,4,4,4,4,6,3,2,$0.10,2,100,2,47,3,12,1,30,2,$10.00,2,1,70,70,30,40,30,3,3,2,3,10,90,80,50,20,90,90,80,70,90,90,80,2,2,1,4,2,2,2,2,2,2,3,1,2,3,2,4,4,4,4,2,3,3,4,4,3,4,4,3,3,4,3,2,4,4,3,2,2,3,4,2,4,2,2,4,4,2,2,1,4,1,2,2,3,5,2,2,1,4,4,2,2,2,2,4,1,3,2,3,4,3,2,2,3,4,2,3,4,4,4,2,2,3,2,3,2,2,2,1,4,2,2,3,2,4,1,5,5,4,3,5,1,1,2,2,2,4,2,4,4,5,8,4,2,2,4,4,4,4,3,4,3,2,3,3,3,20,3,2,5,5,65c10fcc-b521-4657-fd51-700c491a5349,2,4,2,6,3,48,27,11,32,70,49,32,5,6,17,174,2,2,3,2,2,4,63,1,4,3,38,2.25,2.25,2.75,3,2.25,2.5,1.75,2.5,4,2.5,2.25,3.25,2.25,4,1.25,155,3.166666667,2.4375,0,0,1,1,0,1.857142857
2/06/2024 1:28,2/06/2024 2:05,0,100,2236,1,2/06/2024 2:05,40.6002,-74.1469,anonymous,EN,1,1,49,Female,Black,2,English,1,57,7,4,4,4,4,4,4,4,0.1,2,100,2,12,1,6,1,30,2,$90,1,1,80,50,80,30,80,3,2,3,2,60,50,90,40,80,40,80,40,70,40,70,50,4,5,4,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,4,4,4,5,3,4,5,2,5,4,4,5,4,4,5,4,3,4,5,4,4,4,5,4,4,5,4,4,5,5,4,3,5,5,5,4,3,4,5,4,5,3,5,4,4,4,5,4,4,5,4,4,3,4,5,4,5,4,4,5,5,3,4,4,4,1,3,3,2,4,6,4,5,4,5,5,5,5,2,6,6,5,5,3,8,4,5,4,5,5,3,4,2,3,2,4,5,3,4,20,3,1,2,2,65c0fdd0-1aec-5ed4-4c3f-dd88634b65fc,2,2,2,7,6,64,28,10,64,59.16666667,70,31,9,7,18,144,1,2,2,2,1,2,68,2,2,1,40,4.25,4.5,4.25,3.75,4.25,4.75,4.25,2.5,4.25,4.5,4.5,2.75,3.5,3.75,3.75,238,3.333333333,4.125,0,0,1, ,0,1.428571429
2/08/2024 10:48,2/08/2024 11:01,0,100,801,1,2/08/2024 11:01,37.6104,-99.1295,anonymous,EN,0.899999976,1,57,Man,White,3,Automotive,3,72,7,6,6,6,6,6,6,6,10,2,100,2,24,2, ,1,15,1,0,1,1,80,80,70,70,60,5,5,5,5,0,100,100,100,40,100,100,100,100,100,100,100,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,5,1,5,1,5,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,3,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,8,5,3,3,3,3,3,3,3,3,3,5,5,1,1,20,1,1,7,1,65c4246f-f377-fcb8-b465-afa8c8d2e5c9,1,3,3,7,7,72,42,20,41,86.66666667,85,28,10,2,22,298,5,5,5,5,5,5,100,3,3,3,36,3,3,3.5,2.5,3,3,3,3,3,3,3,3,3,3,3,180,3,3,0,0,1,1,0,1.428571429
2/08/2024 10:28,2/08/2024 10:40,0,100,714,1,2/08/2024 10:40,35.8684,-80.315,anonymous,EN,0.100000001,1,30,Female,White,2,Any,6,82,7,4,5,3,3,4,5,4,0.1,2,100,2,24,2,18,1,1,1,10,2,1,20,40,100,30,90,4,3,4,4,0,10,70,100,80,100,100,100,70,40,100,100,4,2,5,3,3,4,4,1,4,4,2,4,4,5,3,4,3,5,3,4,5,3,2,4,4,3,4,5,5,3,3,2,4,5,4,2,2,4,5,3,2,3,3,4,2,5,4,2,4,5,4,3,5,4,3,4,2,3,5,1,4,5,5,5,2,4,4,5,3,3,5,4,4,5,3,5,4,3,5,4,3,5,4,3,1,4,5,5,3,5,4,3,5,5,3,5,6,3,4,2,5,3,5,6,3,5,4,6,5,3,8,5,3,3,5,5,4,4,3,5,3,5,3,1,4,20,4,6,3,6,65c42015-9032-cff3-2d10-8ca3fd0c0596,1,3,2,2,2,56,28,15,52,72.5,65,34,8,5,11,289,3,3,3,2,3,4,75,2,1,2,46,3.25,3.5,4.5,3.25,2.5,3.75,3.5,3.25,4.25,2.75,4.5,3,3.75,4.75,3.5,216,3.833333333,3.541666667,1,0,0,1,2,1.571428571
2/06/2024 2:52,2/06/2024 3:05,0,100,786,1,2/06/2024 3:05,41.7697,-87.6985,anonymous,EN,0.600000024,1,44,Female,White,2,Healthcare,7,49,7,4,5,5,5,5,5,5,10,2,100,2,24,2,18,1,1,1,10,2,1,70,100,100,60,60,2,2,3,2,40,50,60,90,20,20,60,60,60,40,40,50,4,3,4,5,4,4,4,3,4,3,5,4,4,4,4,3,4,4,3,5,3,3,4,3,4,2,4,4,4,5,3,3,4,4,4,4,2,4,2,2,4,2,3,4,2,1,3,3,3,4,3,4,4,4,2,4,1,4,3,4,3,4,4,4,4,4,2,4,2,2,2,1,3,3,4,3,3,3,3,4,4,4,4,4,1,4,1,3,4,2,2,3,3,2,4,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,8,4,4,3,4,4,4,3,3,4,4,3,4,3,4,20,4,3,4,4,65c11206-b00d-99da-9d3c-92aed532441b,2,3,3,5,4,78,34,9,59,49.16666667,56,35,7,7,17,185,2,3,3,3,4,3,73,2,2,3,36,3.75,3,4,2.5,1.75,3.5,1.25,3.25,3.5,3,2.25,2.75,3.25,3,4,179,3,2.979166667,0,0,1, ,0,1.571428571
2/06/2024 0:30,2/06/2024 0:41,0,100,690,1,2/06/2024 0:41,40.6713,-73.8943,anonymous,EN,0.600000024,1,35,Make5,Asian Indian,4,Business,11,12,7,4,4,5,3,5,5,4,10,2,10024,2,24,2,8,1,1,1,10,2,1,70,90,40,30,60,3,3,3,3,90,20,20,10,80,80,10,20,30,60,20,20,5,4,4,4,4,3,3,1,3,4,4,4,4,4,3,4,2,4,1,4,5,4,4,2,4,4,3,4,4,5,4,2,2,3,3,3,1,4,1,1,4,2,4,2,1,1,2,1,3,5,3,2,4,4,1,4,1,4,3,4,4,2,2,3,5,3,1,4,1,1,4,4,1,1,3,5,5,1,3,5,3,2,4,3,2,4,2,2,2,4,4,3,2,2,4,5,5,4,5,4,5,3,4,3,3,4,4,5,5,4,8,4,3,4,4,4,4,4,4,4,4,1,4,2,3,20,2,7,1,6,65c0f0cc-6d3a-8187-5915-b3cfa34794fc,2,2,2,1,2,58,30,12,54,38.33333333,63,33,5,5,6,6,4,5,2,4,2,4,74,2,4,5,31,3,1.5,4,1.75,1.25,4,2.25,3.75,2,3,3.5,3.5,1.5,2.75,4.75,170,2.583333333,2.895833333,0,1,0,0,1,1.571428571
2/06/2024 3:40,2/06/2024 4:15,0,100,2129,1,2/06/2024 4:15,42.4609,-71.0074,anonymous,EN,0.600000024,1,41,Female,Mixed,4,History,10,10,7,4,4,4,4,4,5,4,10,2,100,2,24,2,Five,1,1,1,10,2,1,70,60,40,30,30,2,2,2,3,60,20,50,30,50,30,50,30,50,50,50,60,3,2,2,3,2,2,2,3,2,2,4,2,4,3,2,4,2,4,3,4,2,2,4,2,4,2,4,3,4,4,3,3,4,3,4,3,2,3,2,2,3,1,3,3,2,1,2,2,3,2,3,2,3,4,2,3,2,2,3,2,2,4,2,4,3,3,2,3,3,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,4,1,3,3,2,3,3,3,3,3,3,4,4,4,3,2,2,3,3,2,4,4,4,2,4,8,3,3,3,3,3,2,4,3,3,3,3,4,3,2,20,4,6,2,6,65c11a94-059a-eef6-05e7-3690aab5ec28,3,3,2,2,2,46,29,9,38,44.16666667,48,28,7,5,10,213,4,3,4,4,4,3,73,2,2,3,31,3,2,3,2.25,2,3,1.5,2.75,2.75,2,2,2.25,2.25,3.25,2.5,146,2.583333333,2.395833333,0,1,0,0,1,1.571428571
