Sub,MIP_Con,Pic_Con,Avg_Pic_Rate,STAI1_pos,STAI1_neg,mood1_happy,mood1_sad,mood1_inspired,mood1_angry,STAI2_pos,STAI2_neg,mood2_happy,mood2_sad,mood2_inspired,mood2_angry,Age,"Gender (1=M,2=F)"
1,Neg,Anim,5.233333333,2,1.333333333,0,80,9,0,2,1.333333333,15,59,0,0,30,1
2,Neg,Nat,5.533333333,1,2.333333333,1,99,15,41,3,1,53,0,33,3,24,1
3,Neut,Urb,4.266666667,2.666666667,1.666666667,27,22,18,10,3,1,50,16,35,11,30,1
4,Neg,Urb,4.066666667,1.666666667,2,0,100,0,85,3,3,37,0,21,0,25,1
5,Neut,Anim,6.1,4,1,81,0,50,0,4,1,94,0,51,0,59,2
6,Neg,Urb,5.466666667,2,3.333333333,22,96,23,31,2.666666667,1,53,25,45,4,26,2
7,Neut,Nat,5.2,2.666666667,1,80,0,60,0,3,1,87,0,58,0,19,2
8,Neg,Nat,6.966666667,1.333333333,2.666666667,0,91,20,10,3.333333333,1,71,0,71,0,33,1
9,Neut,Urb,4.8,3.333333333,1,70,0,0,0,3.333333333,1,70,0,0,0,56,1
10,Neut,Anim,6.3,3.333333333,1.333333333,80,0,23,0,4,1,80,0,21,0,30,1
11,Neut,Nat,5,2.666666667,1,50,0,0,0,2,1,52,0,0,0,35,2
12,Neg,Anim,4.666666667,3.666666667,1,72,4,58,2,3.666666667,1,75,1,62,0,45,2
13,Neg,Urb,4.433333333,3,1,45,36,34,13,3.333333333,1.666666667,55,18,48,1,24,1
14,Neg,Urb,4.933333333,2.333333333,2.333333333,3,90,29,9,3.333333333,1,70,9,80,0,29,1
15,Neg,Anim,5.333333333,1.333333333,2,0,56,0,0,2.333333333,1,55,0,0,0,27,1
16,Neut,Nat,6.2,4,1,90,0,90,0,4,1,91,0,90,0,20,1
17,Neg,Nat,5.133333333,2.333333333,1.666666667,31,89,64,0,4,1,71,17,79,0,29,1
18,Neg,Nat,5.933333333,4,1,45,38,100,0,4,1,55,8,100,0,33,1
19,Neut,Urb,4.133333333,2.333333333,1,0,0,0,0,1.666666667,1,23,0,40,0,24,1
20,Neg,Anim,5.6,2,1,0,63,0,0,2.333333333,1,0,50,0,0,25,1
21,Neut,Urb,4.266666667,3,1,76,0,66,0,3,1,71,0,51,0,37,1
22,Neg,Nat,5.5,1,2,0,100,0,0,3.333333333,1,81,0,80,0,56,2
23,Neut,Anim,6.733333333,4,1.666666667,91,0,80,0,4,1,99,0,80,0,45,2
24,Neut,Anim,5.633333333,3.333333333,1,87,0,59,0,3,1,79,0,60,0,49,2
25,Neg,Nat,5.066666667,2.333333333,2.666666667,20,62,10,79,3.666666667,1,40,0,60,0,40,2
26,Neg,Urb,6.566666667,1.333333333,3,13,93,18,45,3.333333333,1.333333333,80,14,87,23,25,1
27,Neg,Nat,6.2,2.666666667,1,18,60,0,0,2.666666667,1,60,20,39,0,36,2
28,Neut,Urb,6.466666667,3,1,78,0,72,0,3,1,77,0,75,0,55,1
29,Neut,Anim,3.7,3.333333333,1,41,8,30,10,3.666666667,1,58,4,43,5,32,1
30,Neut,Urb,4.533333333,3,1.666666667,28,5,23,3,3.666666667,1,60,12,54,11,29,1
31,Neg,Urb,3.4,2,3.666666667,10,84,7,30,3,2,50,41,69,23,42,2
32,Neut,Nat,4.733333333,2,1.333333333,18,9,40,0,2.333333333,1,41,0,51,0,36,2
33,Neut,Urb,5.1,3,1.333333333,57,0,60,0,3,1.666666667,50,0,51,0,35,2
34,Neut,Urb,5.433333333,4,1,40,0,71,0,4,1,34,0,39,0,33,1
35,Neut,Nat,4.7,2,1,0,0,0,0,2,1,0,0,0,0,38,1
36,Neut,Nat,5.366666667,2.333333333,1,50,0,49,0,3,1,91,0,90,0,38,2
37,Neg,Urb,5.933333333,2,2.666666667,1,93,8,2,3.333333333,2,60,24,56,1,28,1
38,Neg,Anim,4.833333333,2.333333333,1,0,0,0,0,2.333333333,1,0,0,0,0,40,1
39,Neut,Nat,6.2,2.333333333,1,65,0,50,0,2.333333333,1,50,0,60,0,51,2
40,Neg,Anim,6.933333333,4,1,0,100,100,0,4,1,100,0,0,0,33,2
41,Neut,Anim,5.9,3.333333333,3,59,40,40,99,3,2,61,79,29,19,69,1
42,Neut,Anim,4.8,3,1,65,0,71,0,3,1.666666667,71,0,64,0,35,1
43,Neut,Anim,5.6,3,1,80,0,100,0,4,1,93,0,89,0,28,1
44,Neut,Anim,5.566666667,2,2.666666667,45,20,10,2,2,2.333333333,56,14,11,4,39,2
45,Neg,Urb,5.8,2,1,0,91,29,9,2.333333333,1,29,0,19,0,41,1
46,Neg,Urb,4.6,2.333333333,3,5,90,50,9,3.666666667,1.666666667,63,22,81,11,30,1
47,Neut,Nat,5.833333333,3.333333333,1,80,0,64,0,3.666666667,1,88,0,79,0,26,2
48,Neg,Urb,4.133333333,2,2,11,80,19,16,1.666666667,1,51,11,7,14,32,1
49,Neut,Urb,5.4,4,1,100,0,89,0,4,1,100,0,100,0,26,1
